Street,City,propertycard__detailvalue,quartos,banheiros,vagas,price
Rua das Guassatungas,Vila Parque Jabaquara,63,2,1,1,390000
Brooklin Paulista São Paulo,SP,340,3,2,2,2660000
Vila Paulista São Paulo,SP,195,2,3,4,596000
Rua Marquês Olinda,Vila Dom Pedro I,300,7,3,2,1300000
Rua Manuel Rodrigues da Costa,Vila Guedes,140,3,2,3,619000
Rua Luisiania,Brooklin Paulista,260,3,2,4,2400000
Rua Geraldo Flausino Gomes,Cidade Monções,375,1,7,8,20000
Mooca São Paulo,SP,220,4,2,1,645000
Jardim Guedala São Paulo,SP,950,4,7,11,15000000
Rio Pequeno São Paulo,SP,215,3,3,2,749000
Rua General Lauro Cavalcanti de Farias,Jardim Mangalot,180,3,4,2,699000
Vila Mazzei São Paulo,SP,68,2,3,1,400000
Rua Itapacurai,Paraíso do Morumbi,160,4,3,2,800000
Chácara Inglesa São Paulo,SP,126,3,2,2,930000
Jardim Japão São Paulo,SP,300,7,4,2,1170000
Vila Madalena São Paulo,SP,276,3,1,6,1800000
Rua Lactâncio,Vila Nova Curuçá,254,2,1,6,900000
Rua Mesquita,Vila Deodoro,240,3,3,4,1450000
Jardim Paulista São Paulo,SP,760,4,7,4,15000000
Praia Paulistinha São Paulo,SP,140,2,1,1,350000
Avenida Benjamim Mansur,Instituto de Previdência,126,3,2,2,870000
Vila Morumbi São Paulo,SP,498,4,6,6,15000
Cidade Monções São Paulo,SP,150,3,3,2,1780000
Vila Madalena São Paulo,SP,354,4,6,2,10000
Vila Nova Curuçá São Paulo,SP,94,1,1,1,200038
Rua Sibipiruna,Parque dos Príncipes,720,3,3,6,5000000
Vila Santa Catarina São Paulo,SP,117,3,1,3,550000
Avenida Nossa Senhora da Assunção,Vila Butantã,200,4,3,5,1060000
Jardim Paulista São Paulo,SP,468,4,5,4,5700000
Rua Evaristo da Veiga,Catumbi,125,2,3,2,749000
Rua Américo Vespucci,Vila Prudente,100,2,2,1,640000
Planalto Paulista São Paulo,SP,314,3,7,4,1450000
Boaçava São Paulo,SP,944,6,7,6,8000000
Rua Jean Arp,São Judas,150,4,3,6,765000
Retiro Morumbi São Paulo,SP,900,4,7,8,35000
Rua José Baldino,Vila Cleonice,120,3,1,2,480000
Rua Tucuna,Pompeia,340,3,3,8,2300000
Rua Vergueiro,São Paulo,98,3,2,2,640000
Rua Viriato Correia,Fazenda Morumbi,405,2,4,2,6000
Rua Inocêncio Nogueira,Cidade Jardim,659,5,5,8,4800000
Rua Kobe,Jardim Japão,190,4,1,1,585000
Rua Helvídio Gouveia,Água Fria,80,2,1,2,395000
Avenida Indianópolis,Indianópolis,330,4,4,3,2490000
Campo Belo São Paulo,SP,330,3,5,2,1800000
Planalto Paulista São Paulo,SP,223,3,2,2,1700000
Avenida Cardeal Motta,City América,350,3,5,5,7000
Vila Clementino São Paulo,SP,70,1,1,2,953000
Vila Leopoldina São Paulo,SP,147,2,1,2,650010
Retiro Morumbi São Paulo,SP,240,3,3,3,1100000
Rua Doutor Alberto da Silveira,Cidade Jardim,480,3,4,3,3300000
Alto de Pinheiros São Paulo,SP,536,3,7,5,5100000
Alto da Lapa São Paulo,SP,80,3,3,2,850000
Avenida Professor José Maria Alkmin,Jardim Ester,150,3,2,3,650000
Bosque da Saúde São Paulo,SP,205,2,1,3,680000
Rua Izabel de Oliveira,Piqueri,224,3,4,4,725000
Jabaquara São Paulo,SP,160,2,1,2,700000
Largo da Batalha,Jardim Luzitânia,300,3,4,3,5250000
Sumaré São Paulo,SP,378,4,3,4,2400000
Rua Brigadeiro Gama Barcelos,Parque Jabaquara,350,3,4,4,800000
Rua Romão Puiggari,Vila Moraes,120,2,1,2,540000
Rua Ribeiro Lacerda,Bosque da Saúde,241,3,6,4,1540000
Jardim Santo Amaro São Paulo,SP,346,3,5,4,3000000
Vila Gumercindo São Paulo,SP,140,3,1,3,870000
Avenida Doutor Cardoso de Melo,Vila Olímpia,200,2,3,2,2900000
Avenida Benedito Ferreira Silva,Interlagos,280,3,6,4,1500000
Vila Mariana São Paulo,SP,240,3,1,3,1500000
Vila Antonina São Paulo,SP,80,2,1,2,426000
Cidade Jardim São Paulo,SP,482,4,5,6,2300000
Rua Alessandro Araldi,Jardim dos Pinheiros,179,3,4,3,820000
Rua Pires de Oliveira,Chácara Santo Antônio (Zona Sul),750,4,6,5,3100000
Avenida das Magnólias,Cidade Jardim,450,4,5,4,2200000
Avenida Diógenes Ribeiro de Lima,Alto de Pinheiros,439,3,4,5,3180000
Rua Alberto Faria,Alto de Pinheiros,398,4,5,3,5950000
Jardim Paulista São Paulo,SP,517,4,5,4,9500000
Avenida das Corujas,Sumarezinho,109,3,2,2,1830000
Rua Almerindo Alziro Paganini,Jardim Popular,104,2,2,2,425000
Alameda dos Uapês,Planalto Paulista,100,2,3,2,850000
Rua Pirajá,Mooca,200,3,2,2,660000
Rua José Alencar Castelo Branco,Siciliano,130,3,3,3,1100000
Cidade Vargas São Paulo,SP,216,3,3,2,13000
Cambuci São Paulo,SP,233,3,2,1,1200000
Rua Engenheiro Janot Pacheco,Vila Progredior,342,4,7,5,2600000
Rua Princesa Leopoldina,Alto da Lapa,212,3,3,3,1980000
Rua Doutor João Maia,Aclimação,311,4,6,3,2200000
Rua Árabe,Vila Clementino,300,3,3,2,1600000
Rua Mariana Correia,Jardim Paulistano,254,4,1,4,22000
Rua Moura Brasil,Butantã,300,3,2,2,1600000
Rua São Ludgero,Granja Julieta,246,4,4,3,2550000
Rua Vigário João Álvares,Vila Monumento,92,3,2,2,580000
Rua Vicente José de Almeida,Cupecê,218,3,5,3,1150000
Jardim Luzitânia São Paulo,SP,400,4,5,4,11000
Rua Guararema,Bosque da Saúde,175,3,6,3,1060000
Rua dos Franceses,Morro dos Ingleses,236,3,1,4,1150000
Alto de Pinheiros São Paulo,SP,286,3,5,2,2600000
Vila Inah São Paulo,SP,363,4,6,6,2120000
Rua Barão de Itaim,Granja Julieta,483,4,5,3,3900000
Brooklin Paulista São Paulo,SP,120,2,2,1,670000
Vila Sônia São Paulo,SP,121,2,3,2,750000
Pinheiros São Paulo,SP,157,2,2,1,1250000
Sumaré São Paulo,SP,750,4,8,8,3600000
Rua João Batista Leme da Silva,Vila Madalena,170,3,2,2,1280000
Rua Celso Vieira,Vila Pereira Barreto,145,3,2,2,579900
Jardim Guedala São Paulo,SP,563,4,6,4,2500000
Rua Acruás,Campo Belo,160,3,3,4,1099000
Avenida Onze de Junho,Vila Clementino,140,3,3,2,1500000
Cidade Jardim São Paulo,SP,775,5,7,4,8000
Vila Madalena São Paulo,SP,250,4,5,3,2000000
Rua Domingos Barbieri,Instituto de Previdência,120,4,2,4,1280000
Rua Paris,Sumaré,141,3,2,2,1490000
Rua Adelina Gasparian,Parque Continental,138,3,2,3,785000
Rua Raimundo Mattiuzzo,Vila Araguaia,250,2,1,1,500000
Rua Belarmino Barreto,Vila Fachini,95,2,2,2,370000
Avenida Afonso Mariano Fagundes,Saúde,180,3,2,2,797000
Cidade Jardim São Paulo,SP,530,5,7,4,5000000
Jardim Paulista São Paulo,SP,850,4,7,10,13500000
Rua Engenheiro Sá Rocha,Vila Ida,456,4,4,4,4500000
Jardim Panorama São Paulo,SP,453,4,5,4,2200000
Vila Sao Paulo São Paulo,SP,134,3,1,2,1000000
Rua Doutor Domingos de Sylos,Brooklin,144,3,4,2,800000
Jardim Guedala São Paulo,SP,489,4,5,4,23000
Rua Conde D'Eu,Santo Amaro,188,3,4,3,1830000
Rua Utinga,Chácara Flora,1500,5,8,4,25000000
Vila Cruzeiro São Paulo,SP,180,3,1,2,998000
Rua Roque Petrella,Vila Cordeiro,223,3,6,4,14000
Jardim Guedala São Paulo,SP,496,4,4,3,14000
Rua Antônio de Andrade Rebelo,Retiro Morumbi,850,4,8,8,35000
Jardim da Saúde São Paulo,SP,202,3,1,4,1500000
Super Quadra Morumbi São Paulo,SP,150,3,3,4,3000
Rua Acutiranha,Jardim Panorama,356,3,5,3,2280000
Rua Francisco Carvalho Henriques,Lar São Paulo,253,3,6,6,1300000
Jardim das Bandeiras São Paulo,SP,300,4,1,4,4800000
Jardim Europa São Paulo,SP,643,4,4,7,18000000
Praça Doutor Silas Botelho,Sumaré,375,4,3,2,11000
Avenida Lopes de Azevedo,Jardim Guedala,1000,5,7,6,12500000
Rua Doutor Cristiano de Sousa,Jardim Leonor,341,4,4,4,1300000
Avenida Mahatma Gandhi,Interlagos,380,3,8,6,1680000
Rua Gustavo da Silveira,Vila Santa Catarina,175,4,3,2,580000
Pacaembu São Paulo,SP,400,2,1,4,2150000
Rua Menaldo Rodrigues,Jardim Luzitânia,580,4,5,4,5900000
Vila Monte Alegre São Paulo,SP,172,3,1,2,1590000
Rua Péricles,Jardim Petrópolis,652,3,6,3,12000
Vila Caraguatá São Paulo,SP,100,2,1,1,370000
Jardim da Saúde São Paulo,SP,196,3,1,2,890000
Vila Brasílio Machado São Paulo,SP,116,3,1,2,680000
Rua Brigadeiro Gama Barcelos,Parque Jabaquara,143,3,2,4,890000
Alameda dos Anapurus,Indianópolis,600,4,7,6,3300000
Travessa Herval D'Oeste,Rio Pequeno,140,2,3,3,2990
Rua Eliseu Visconti,Paineiras do Morumbi,744,4,7,4,30000
Rua Professor Castro Soromenho,Vila Congonhas,112,2,3,2,850000
Cidade Jardim São Paulo,SP,409,4,1,4,4500000
Rua Florindo Braglia,Jardim São Paulo(Zona Norte),230,4,4,3,1200000
Rua Piave,Vila Inah,380,3,4,6,1900000
Rua Pau,"Brasil, 380",658,5,7,8,7900000
Jardim Heliomar São Paulo,SP,130,3,4,2,1080000
Rua Marcos Fernandes,Jardim da Saúde,96,2,1,2,950000
Rua Wanderley,Perdizes,210,3,4,2,1500000
Rua Eduardo Valim,Jardim Botucatu,140,3,3,2,565000
Chácara Santo Antônio (Zona Sul) São Paulo,SP,290,3,5,3,3000000
Avenida Lacerda Franco,Cambuci,180,3,4,2,1040000
Jardim Jussara São Paulo,SP,196,3,3,4,850000
Granja Julieta São Paulo,SP,123,3,4,3,1600000
Pacaembu São Paulo,SP,450,4,3,5,12000
Rua Aparaó,Vila Inah,463,4,5,6,2750000
Rua Comendador Roberto Ugolini,Parque da Mooca,390,4,4,6,1200000
Vila Ivg São Paulo,SP,220,3,2,2,565000
Rua Umberto Corradi,Vila Gomes Cardim,600,4,7,4,2300000
Rua Cônego Antônio Lessa,Parque da Mooca,150,3,1,2,1100000
Perdizes São Paulo,SP,224,3,5,2,7000
Vila Monumento São Paulo,SP,365,4,5,4,3500000
Rua Galiza,Socorro,90,3,1,2,530000
Rua Tito Prates da Fonseca,Vila Moinho Velho,138,4,4,2,595000
Vila Curuçá São Paulo,SP,60,2,1,2,360000
Vila Caraguatá São Paulo,SP,160,4,2,2,480000
Interlagos São Paulo,SP,793,4,7,5,2680000
Rua São Fortunato,Interlagos,371,3,5,10,1295000
Jardim América São Paulo,SP,1000,4,3,4,20000
Rua Engenheiro Mário Pamponet,Vila Madalena,210,4,4,3,1900000
Alameda Joaquim Eugênio de Lima,Jardim Paulista,400,5,5,4,6000000
Rua Dom Miguel Costa,Vila Gumercindo,180,3,3,3,870000
Alto de Pinheiros São Paulo,SP,418,4,5,4,4100000
Perdizes São Paulo,SP,238,3,3,2,8000
Paraíso do Morumbi São Paulo,SP,181,3,5,4,890000
Rua Barão de Almeida Valim,Vila Jurema,85,3,2,3,600000
Saúde São Paulo,SP,500,2,1,2,850000
Bosque da Saúde São Paulo,SP,70,2,1,1,430000
Rua Olivério Pilar,Vila Primavera,200,3,3,6,600000
Rua Coronel Bento Noronha,Jardim Paulistano,934,5,8,7,14000000
Cidade Jardim São Paulo,SP,600,5,4,6,6000000
Rua Magino Roberto de Oliveira,Vila Independência,100,3,2,2,420000
Rua Princesa Leopoldina,Alto da Lapa,140,2,2,4,1250000
Jardim Leonor São Paulo,SP,648,5,5,4,2200000
Vila Monumento São Paulo,SP,279,3,1,2,750000
Vila Vera São Paulo,SP,220,3,1,2,650000
Rua Madalena de Morais,8888,742,4,8,6,9800
Caxingui São Paulo,SP,230,3,3,4,1800000
Rua Oliveira Lima,Cambuci,140,3,2,3,690000
Água Funda São Paulo,SP,153,3,1,2,660000
Rua Maria Inácia da Conceição,Vila Carrão,500,4,5,5,1200000
Avenida Itacira,Planalto Paulista,155,2,1,2,1200000
Cidade Jardim São Paulo,SP,500,3,6,4,5000000
Rua Içana,Jardim Paulistano,350,3,2,2,2800000
Bosque da Saúde São Paulo,SP,160,4,1,2,799000
Avenida das Magnólias,Cidade Jardim,850,4,4,10,11000000
Mirandópolis São Paulo,SP,144,3,1,1,900000
Vila Romero São Paulo,SP,348,3,4,4,1000000
Rua Mário,Vila Romana,150,3,3,2,1250000
Rua Suarão,Vila Prudente,136,2,1,1,440000
Rua Consórcio,Vila Nova Conceição,271,1,3,4,10000
Lapa São Paulo,SP,200,2,2,2,5000
Rua Chafic Ganem,Vila das Mercês,140,3,2,4,665000
Rua Arapixi,Chácara Monte Alegre,350,4,7,10,1750000
Rua Almirante Pereira Guimarães,Pacaembu,457,4,2,7,2200000
Rua Robélia,Jardim Prudência,632,5,7,6,3000000
Vila Madalena São Paulo,SP,519,4,4,3,2450000
Liberdade São Paulo,SP,150,3,2,2,1040000
Rua Lourenço de Almeida Prado,Vila Tramontano,1200,6,7,8,9000000
Vila Gumercindo São Paulo,SP,250,3,1,2,1380000
Rua Doutor Odon Carlos de Figueiredo Ferraz,Parque São Domingos,305,4,6,5,1350000
Rua Herval,Belenzinho,250,4,5,4,15000
Rua Santos Dumont,Jardim Petrópolis,567,5,5,4,3490000
Rua Arizona,Cidade Monções,180,3,5,5,1300000
Avenida Santo Amaro,Brooklin Paulista,95,2,2,1,545000
Rua Joaquim Cândido de Azevedo Marques,Vila Morumbi,580,4,5,10,2300000
Rua Doutor João Dalmácio Azevedo,Cidade Jardim,900,4,6,8,8400000
Rua Antônio Cantarella,Vila Santo Estéfano,143,3,3,2,614800
Avenida Mahatma Gandhi,Interlagos,380,3,8,6,1680000
Rua Gustavo da Silveira,Vila Santa Catarina,175,4,3,2,580000
Pacaembu São Paulo,SP,400,2,1,4,2150000
Rua Menaldo Rodrigues,Jardim Luzitânia,580,4,5,4,5900000
Vila Monte Alegre São Paulo,SP,172,3,1,2,1590000
Rua Péricles,Jardim Petrópolis,652,3,6,3,12000
Vila Caraguatá São Paulo,SP,100,2,1,1,370000
Jardim da Saúde São Paulo,SP,196,3,1,2,890000
Vila Brasílio Machado São Paulo,SP,116,3,1,2,680000
Rua Brigadeiro Gama Barcelos,Parque Jabaquara,143,3,2,4,890000
Alameda dos Anapurus,Indianópolis,600,4,7,6,3300000
Travessa Herval D'Oeste,Rio Pequeno,140,2,3,3,2990
Rua Eliseu Visconti,Paineiras do Morumbi,744,4,7,4,30000
Rua Professor Castro Soromenho,Vila Congonhas,112,2,3,2,850000
Cidade Jardim São Paulo,SP,409,4,1,4,4500000
Rua Florindo Braglia,Jardim São Paulo(Zona Norte),230,4,4,3,1200000
Rua Piave,Vila Inah,380,3,4,6,1900000
Rua Pau,"Brasil, 380",658,5,7,8,7900000
Rua Sacadura Cabral,Lapa,37,1,2,1,510000
Rua Padre Vicente Heckel,Parque Jabaquara,274,3,2,6,939000
Parque Jabaquara São Paulo,SP,193,3,3,4,950000
Jardim Luzitânia São Paulo,SP,627,3,5,4,13000000
Rua André Saraiva,Vila Sônia,125,2,2,2,689000
Vila Isa São Paulo,SP,240,3,1,3,850000
Jardim Cordeiro São Paulo,SP,640,5,7,7,6000000
Vila Talarico São Paulo,SP,168,3,3,2,450000
Rua Juvenal Galeno,Jardim da Saúde,270,4,4,2,890000
Rua Izabel Velho,Vila São Vicente,116,3,4,2,490000
Rua Professor Vahia de Abreu,Vila Olímpia,94,3,4,1,1200000
Rua Rosalino Silva,Jardim Itapeva,129,3,3,3,620000
Rua Canudos,Jardim da Glória,230,3,2,3,1200000
Rua Canudos,Jardim da Glória,229,3,2,3,1199999
Rua Auguste Clesinger,Vila do Bosque,273,5,5,3,1270000
Jardim Peri São Paulo,SP,330,3,2,3,1250000
Rua Marcondes de Andrade,Vila São José (Ipiranga),177,3,2,3,980000
Rua Doutor Monteiro Tapajós,Vila Santo Estéfano,121,3,2,2,590000
Rua Sônia Ribeiro,Campo Belo,250,4,4,4,1750000
Campo Belo São Paulo,SP,214,4,5,4,2500000
Rua Guaxatuba,Santo Amaro,202,2,1,4,1000000
Rua Honduras,Jardim Paulista,360,4,6,8,7497000
Saúde São Paulo,SP,165,4,4,2,1249000
Rua Primavera,Jardim Paulista,350,3,3,4,25000
Rua Mendes Pais,Vila Nova Conceição,564,3,5,3,8500000
Travessa Professor Dalmo Belfort de Mattos,Jardim Miriam,67,2,1,1,257600
Largo São Rafael,Mooca,103,3,2,2,750000
Vila Dom Pedro I São Paulo,SP,225,4,1,5,1390000
Vila Vera São Paulo,SP,146,3,1,1,480000
Sumaré São Paulo,SP,160,8,3,5,8500
Avenida Manoel dos Reis Araújo,Jardim Marajoara,500,3,6,6,2300000
Santo Amaro São Paulo,SP,185,4,5,4,2100000
Vila Monumento São Paulo,SP,282,4,2,4,1705000
Vila Brasílio Machado São Paulo,SP,110,3,3,2,650000
Rua Roger Chaffee,Interlagos,345,4,6,4,2500000
Rua Giácomo Carissimi,Vila Adalgisa,120,3,2,2,580000
Rua Xavier da Rocha,Parque da Vila Prudente,96,2,1,2,470000
Bosque da Saúde São Paulo,SP,486,3,1,1,1900000
Parque Jabaquara São Paulo,SP,150,3,1,2,1250000
Jardim D'Abril São Paulo,SP,90,2,1,1,349800
Rua Gastão da Cunha,Vila Paulista,177,3,2,2,690000
Rua Comandante Ismael Guilherme,Jardim Luzitânia,600,4,7,4,12000000
Santo Amaro São Paulo,SP,350,4,6,10,2300000
Rua Salvador Fiordelisio,Vila Bertioga,77,3,4,2,599000
Paraisópolis São Paulo,SP,828,1,1,3,841750
Rua Oronzo Scattone,Vila Gumercindo,70,2,1,1,495000
Rua Luís da Silva Araújo,Jardim Leonor Mendes de Barros,287,4,6,6,1090000
Rua Mário Gonçalves de Oliveira,Fazenda Morumbi,750,4,7,5,15000
Alto de Pinheiros São Paulo,SP,280,4,6,4,14500
Bosque da Saúde São Paulo,SP,120,2,2,1,670000
Rua Marechal Bina Machado,Jardim Marajoara,271,4,5,4,1800000
Avenida Amarilis,Cidade Jardim,840,4,6,8,5900000
Rua Marechal Bina Machado,Jardim Marajoara,450,3,2,4,2500000
Rua Getúlio Vargas Filho,Cidade Vargas,130,3,2,4,850000
Rua Miranda Guerra,Jardim Petrópolis,500,4,12,5,3000000
Brooklin Paulista São Paulo,SP,180,3,3,2,1200000
Morumbi São Paulo,SP,400,4,1,4,1600000
Avenida Manoel dos Reis Araújo,Jardim Marajoara,266,3,4,6,1400000
Rua Aziz Nader,Jardim Petrópolis,700,4,3,5,16000
Rua Veríssimo da Silva,Jardim Nossa Senhora do Carmo,97,2,3,2,385000
Cidade Ademar São Paulo,SP,220,3,3,6,420000
Fazenda Morumbi São Paulo,SP,393,4,1,3,2800000
Rua Marcos Fernandes,Jardim da Saúde,168,3,4,4,960000
Jardim Europa São Paulo,SP,650,5,8,6,45000
Saúde São Paulo,SP,143,4,1,5,2940000
Nova Piraju São Paulo,SP,200,3,2,2,950000
Praça Contendas,Vila Anhangüera,96,2,2,3,850000
Avenida Manoel dos Reis Araújo,Jardim Marajoara,387,3,5,4,1800000
Rua Amandaba,Jardim Prudência,300,3,4,3,1500000
Cidade Jardim São Paulo,SP,600,4,4,4,15000
Rua Arandu,Itaim Bibi,87,1,2,2,900000
Rua Itamonte,Vila Medeiros,241,2,2,1,500000
Jardim América São Paulo,SP,601,3,5,10,80000
Rua General Calado,Vila Regente Feijó,194,4,4,2,900000
Rua Feliciano Maia,Jardim Paulista,600,5,4,10,30000
Rua João Batista Leme da Silva,Vila Madalena,190,3,2,2,1045000
Rua Senador Otávio Mangabeira,Jardim Morumbi,350,5,6,5,2000000
Rua Piatá,Vila Isolina Mazzei,55,3,1,1,345000
Rua Sílvia Celeste de Campos,Alto de Pinheiros,670,5,6,7,15000000
Rua Amélia Barsotti Simi,Jardim Riviera,400,3,3,7,1480000
Rua Veneza,Jardim Paulista,450,3,1,2,15000
Rua Doutor Dolzani,Jardim da Glória,106,2,2,1,448970
Vila Santa Catarina São Paulo,SP,244,3,1,3,900000
Rua Tebas,Jardim Brasil (Zona Sul),400,3,6,6,2800000
Rua Mesquita,Vila Deodoro,200,3,1,2,3800000
Rua Doutor Queirós Guimarães,Jardim Guedala,400,4,5,4,3850000
Jardim Prudência São Paulo,SP,364,3,3,3,1500000
Santo Amaro São Paulo,SP,150,2,3,1,1050000
Rua Fujie Nitta,Brooklin Paulista,147,3,3,2,970000
Jardim Paulista São Paulo,SP,600,4,6,3,11000000
Rua Ferdinando Laboriau,Pacaembu,450,4,4,4,2350000
Pacaembu São Paulo,SP,280,4,6,6,2100000
Rua Sacadura Cabral,Lapa,37,1,2,1,510000
Rua Padre Vicente Heckel,Parque Jabaquara,274,3,2,6,939000
Parque Jabaquara São Paulo,SP,193,3,3,4,950000
Jardim Luzitânia São Paulo,SP,627,3,5,4,13000000
Rua André Saraiva,Vila Sônia,125,2,2,2,689000
Vila Isa São Paulo,SP,240,3,1,3,850000
Jardim Cordeiro São Paulo,SP,640,5,7,7,6000000
Vila Talarico São Paulo,SP,168,3,3,2,450000
Rua Juvenal Galeno,Jardim da Saúde,270,4,4,2,890000
Rua Izabel Velho,Vila São Vicente,116,3,4,2,490000
Rua Professor Vahia de Abreu,Vila Olímpia,94,3,4,1,1200000
Rua Rosalino Silva,Jardim Itapeva,129,3,3,3,620000
Rua Canudos,Jardim da Glória,230,3,2,3,1200000
Rua Canudos,Jardim da Glória,229,3,2,3,1199999
Rua Auguste Clesinger,Vila do Bosque,273,5,5,3,1270000
Jardim Peri São Paulo,SP,330,3,2,3,1250000
Jardim Guedala São Paulo,SP,572,4,6,7,15000
Rua Padre Madureira,Jardim Guedala,808,4,4,8,4200000
Rua Luiz Galhanone,Jardim Viana,280,4,5,3,2500000
Rua Geórgia,Brooklin Paulista,250,3,3,3,1850000
Vila Progredior São Paulo,SP,200,3,2,2,2200000
Travessa Umberto Bignardi,Paraíso,190,11,8,2,2500000
Vila Monumento São Paulo,SP,95,2,2,2,750000
Vila Madalena São Paulo,SP,320,3,4,4,1980000
Jardim da Glória São Paulo,SP,750,6,9,6,2880000
Morumbi São Paulo,SP,184,1,1,1,827739
Rua Cardoso de Almeida,Perdizes,350,5,4,5,7000
Cambuci São Paulo,SP,366,4,5,5,1650000
Rua Ministro Oscar Saraiva,Vila Brasílio Machado,160,3,2,2,700000
Rua Wagih Assad Abdalla,Morumbi,520,5,9,6,4800000
Rua Gaurama,Jardim Franca,450,5,6,5,2200000
Rua Luís Góis,Mirandópolis,197,2,1,1,1600000
Rua Antônio Barletta,Vila Madalena,280,4,1,5,8000
City América São Paulo,SP,573,5,6,8,2015000
Vila Bancária Munhoz São Paulo,SP,140,3,1,2,580000
Rua Acuruá,Vila Romana,290,4,3,2,2200000
Rua Cristiano Viana,Cerqueira César,120,2,2,1,880000
Rua Viena,Sacomã,127,3,2,2,880000
Cidade Monções São Paulo,SP,130,2,4,1,950000
Rua Conde de Porto Alegre,Campo Belo,381,3,3,3,1900000
Rua dos Beija,"Flores, 74",300,2,2,2,770000
Jardim Londrina São Paulo,SP,175,4,4,2,850000
Chácara Monte Alegre São Paulo,SP,333,5,1,2,1400000
Vila Ester (Zona Norte) São Paulo,SP,226,3,3,4,670000
Rua São José,Santo Amaro,800,4,5,12,8200000
Pinheiros São Paulo,SP,140,2,3,1,1915000
Rua Professor Henrique Neves Lefevre,Jardim Petrópolis,947,4,5,10,9000000
Indianópolis São Paulo,SP,200,4,4,1,3405000
Jardim Hípico São Paulo,SP,133,2,4,3,1750000
Campo Belo São Paulo,SP,210,4,4,2,1190000
Rua Alabastro,Aclimação,240,3,4,3,1550000
Vila Lageado São Paulo,SP,150,2,2,4,745000
Cambuci São Paulo,SP,96,3,4,2,800000
Rua Antônio La Giudice,Jardim Aricanduva,125,2,1,2,330000
Rua Madalena de Morais,Jardim Leonor,726,4,8,9,4500000
Vila Brasilina São Paulo,SP,141,3,1,2,700000
Rua Agostinho Nunes de Abreu,Catumbi,126,2,1,2,394550
Rua Amélia Barsotti Simi,Praia Azul,225,3,4,6,1170000
Vila Anhangüera São Paulo,SP,118,3,2,2,750000
Rua Carlos Rath,Alto de Pinheiros,283,4,3,5,8000
Rua João de Santa Maria,Vila Brasilina,184,3,6,3,1280000
Rua Boa Esperança do Sul,Jardim Guedala,406,4,1,4,2700000
Rua Angatuba,Pacaembu,687,4,6,4,10000000
Rua Izonzo,Sacomã,100,3,3,2,606000
Vila Madalena São Paulo,SP,400,4,5,4,13000
Avenida Iraí,Indianópolis,300,3,2,4,2200000
Jardim da Saúde São Paulo,SP,127,3,1,5,1190000
Jardim Marajoara São Paulo,SP,400,4,6,6,2650000
Bosque da Saúde São Paulo,SP,297,3,1,6,1600000
Rua Doutor João Vieira Neves,Jardim Esmeralda,140,3,2,3,550000
Rua Guariuba,Vila Campanela,134,3,1,1,420000
Rua Antônio Dario Menezes,Vila Romano,141,3,3,4,800000
Rua Geremia Lunardelli,Jardim Peri Peri,200,3,5,4,900000
Vila Bela São Paulo,SP,340,3,1,8,1280000
Rua General Pereira da Cunha,Retiro Morumbi,2200,6,6,12,19000000
Rua Doutor Heitor Rodrigues de Souza,Cidade Vargas,354,4,5,3,12000
Rua Aracitaba,Morumbi,463,3,6,4,1950000
Rua Rocinha,Bosque da Saúde,160,5,4,3,990000
Praça Monsenhor Galvão de Sousa,Jardim Guedala,558,4,8,6,22000
Rua Comandante Ismael Guilherme,Jardim Luzitânia,566,3,4,6,12000000
Rua Conde D'Eu,Santo Amaro,150,3,3,2,2100000
Rua Laplace,Brooklin,634,5,4,4,2800000
Rua Honorato Faustino,Alto de Pinheiros,535,4,5,4,8000000
Jardim América São Paulo,SP,850,5,4,6,50000
Parque dos Príncipes São Paulo,SP,893,4,8,10,11000000
Retiro Morumbi São Paulo,SP,2000,5,11,30,90000
Rua Atalanta,Jardim São Paulo(Zona Norte),200,3,2,3,700000
Vila Brasílio Machado São Paulo,SP,110,3,2,2,650000
Rua Ribeiro do Vale,Brooklin Paulista,250,3,1,3,1600000
Vila Simone São Paulo,SP,285,4,3,3,636000
Rua Antônio Loureiro,Vila Santa Catarina,200,3,2,4,650000
Rua Araporé,Jardim Guedala,450,5,5,5,3100000
Alto da Mooca São Paulo,SP,800,3,2,4,1600000
Rua Arcipreste Andrade,Ipiranga,120,2,1,1,800000
Rua Pedro Inácio de Araújo,Vila São Silvestre,98,2,1,2,590000
Rua General Gaudie Ley,Interlagos,350,4,5,8,1600000
Rua Cornélio Procópio,Saúde,165,2,2,2,899000
Vila Nova Conceição São Paulo,SP,177,3,2,3,2875000
Rua Ossian Terceiro Teles,Jardim Prudência,250,3,4,3,1100000
Rua Mário Enzio Pasqualucci,Vila São Francisco (Zona Sul),133,3,4,2,850000
Estrada Velha da Penha,Tatuapé,125,2,2,2,530000
Rua Capitão José Inocêncio Taques Alvim,Santo Amaro,147,3,3,3,890000
Rua Comandante Ismael Guilherme,Jardim Luzitânia,600,3,6,4,12000000
Avenida Dória,Vila Alexandria,130,2,2,1,650000
Rua Balata,Jardim Guairaca,276,3,3,6,950000
Rua Armando Brussolo,Vila Romana,254,3,3,2,1900000
Rua Sargento Antenor Teixeira,Jabaquara,350,4,2,1,940000
Rua Maria Celina,Vila Firmiano Pinto,140,3,3,2,799000
Avenida Ipanema,Veleiros,75,2,2,2,700000
Vila Nivi São Paulo,SP,72,2,1,2,380000
